"코딩, 디버그, 컴파일, 배포 등 프로그램 개발과 관련된 모든 작업을 하나의 프로그램에서 처리할 수 있도록 제공하는 소프트웨어적인 개발환경",통합 개발 환경 (IDE)
"C, JAVA, Python 등의 프로그래밍 언어로 프로그램을 작성하는 기능",코딩
개발자가 작성한 고급 언어로 된 프로그램을 컴퓨터가 이해할 수 있는 목적 프로그램으로 번역하여 컴퓨터에서 실행 가능한 형태로 변환하는 기능,컴파일
"소프트웨어나 하드웨어의 오류나 잘못된 동작, 즉 버그를 찾아 수정하는 기능",디버깅
소프트웨어를 사용자에게 전달하는 기능,배포
"빌드 도구의 종류 ) _____, Gradle, Maven",Ant
"빌드 도구의 종류 ) Ant, _____, Maven",Gradle
"빌드 도구의 종류 ) Ant, Gradle, _____",Maven
"선형 자료구조의 종류 ) ______, 선형리스트, 스택, 큐, 데크",배열
"선형 자료구조의 종류 ) 배열, ________, 스택, 큐, 데크",선형리스트
"선형 자료구조의 종류 ) 배열, 선형리스트, ______, 큐, 데크",스택
"선형 자료구조의 종류 ) 배열, 선형리스트, 스택, ______, 데크",큐
"선형 자료구조의 종류 ) 배열, 선형리스트, 스택, 큐, ______",데크
"비선형 자료구조의 종류) ______, 그래프",트리
"비선형 자료구조의 종류) 트리, ______",그래프
"리스트의 한쪽 끝으로만 자료의 삽입, 삭제가 이루어지는 자료구조. 후입선출 자료 처리",스택
"_______ 는 스택에 자료를 입력하는 명령이고, ______ 은 스택에서 자료를 출력하는 명령이다","PUSH, POP"
리스트의 한쪽에서는 삽입 작업이 이루어지고 다른 한쪽에서는 삭제작업이 이루어지는 자료구조. 선입 선출 방식으로 처리된다,큐
자료의 삽입과 삭제가 양쪽 끝에서 모두 발생할 수 있는 자료구조. 입력제한과 출력제한이 있다.,데크
"n 개의 정점으로 구성된 무방향 그래프에서 최대 간선의 수는 _______, 이고 방향 그래프에서 최대 간선 수는 _________ 이다.","n(n-1)/2 ,  n(n-1)"
정점(node) 와 선분(Branch)을 이용하여 사이클을 이루지 않도록 구성한 그래프의 특수한 형태,트리
트리 자료구조에서 각 노드에서 뻗어나온 가지의 수,디그리
트리 자료구조에서 자식이 하나도 없는 노드,단말 노드
트리의 운행법) Preorder 에 따른 방문 순서,A-B-D-H-I-E-C-F-G
트리의 운행법) Inorder 에 따른 방문 순서,H-D-I-B-E-A-F-C-G
트리의 운행법) Postorder 에 따른 방문 순서,H-I-D-E-B-F-G-C-A
"8, 5, 6, 2, 4 를 삽입 정렬",
"8, 5, 6, 2, 4 를 선택 정렬",
"8, 5, 6, 2, 4 를 버블 정렬",
레코드의 많은 자료이동을 없애고 하나의 파일을 부분적으로 나누어가면서 정렬하는 방법. 분할과 정복을 통해 자료를 정렬하는 정렬법.,퀵 정렬
해싱 함수로 레코드 키를 해시표의 크기보다 큰 수 중에서 가장 작은 소수로 나눈 나머지를 홈 주소로 삼는 방식,제산법
해싱 함수로 레코드 키 값을 제곱한 후 그 중간 부분의 값을 홈 주소로 삼는 방식,제곱법
해싱 함수로 레코드 키 값을 여러 부분으로 나눈 후 각 부분의 값을 더하거나 XOR 한 값을 홈 주소로 삼는 방식,폴딩법
해싱 함수로 키 값을 이루는 숫자의 분포를 분석하여 비교적 고른 자리를 필요한 만큼 택해서 홈 주소로 삼는 방식,숫자 분석법
"해시 테이블이라는 기억 공간을 할당하고, 해시 함수를 이용하여 레코드 키에 대한 해시 테이블 내의 홈 주소를 계산한 후 주어진 레코드를 해당 기억장소에 저장하거나, 검색 작업을 수행하는 방식",해싱
데이터베이스의 구조와 제약 조건에 관한 전반적인 명세를 기술한 메테데이터의 집합은?,스키마
사용자나 응용 프로그래머가 각 개인의 입장에서 필요로 하는 데이터베이스의 논리적 구조를 정의한 스키마는,외부 스키마
"데이터베이스의 전체적인 논리적 구조로서, 모든 응용프로그램이나 사용자들이 필요로 하는 데이터를 종합한 조직 전체의 데이터베이스 스키마는?",개념 스키마
"물리적 저장장치의 입장에서 본 데이터베이스의 구조로서, 실제로 데이터베이스에 저장될 레코드의 형식을 정의하고 저장 데이터 항목의 표현 방법, 내부 레코드의 물리적 순서등을 나타내는 스키마는",내부 스키마
"저작권자가 배포한 디지털 콘텐츠가 저작권자가 의도한 용도로만 사용되도록 디지털 콘텐츠의 생성, 유통, 이용까지의 전 과정에 걸쳐 사용되는 디지털 콘텐츠 관리 및 보호 기술",디지털 저작권 관리
"디지털 저작권 관리의 구성요소로, 저작권에 대한 사용권한, 라이선스 발급, 사용량에 따른 결제 관리 등을 수행하는 곳",클리어링 하우스
"디지털 저작권 관리의 구성요소로, 콘텐츠를 제공하는 저작권자는?",콘텐츠 제공자
"디지털 저작권 관리의 구성요소로, 콘텐츠를 메타데이터와 함께 배포 가능한 형태로 묶어서 암호화 하는 프로그램은?",패키져
"디지털 저작권 관리의 구성요소로, 암호화 된 콘텐츠를 유통하는 곳이나 사람은?",콘텐츠 분배자
"디지털 저작권 관리의 구성요소로, 배포된 콘텐츠의 이용 권한을 통제하는 프로그램은?",DRM 컨트롤러
"디지털 저작권 관리의 구성요소로, 콘텐츠의 원본을 안전하게 유통하기 위한 전자적 보안 장치는?",보안 컨테이너
"디지털 저작권 관리의 기술요소 중, 콘텐츠 및 라이선스 암호화 기술",암호화
